Username,Date,Time,Tweet,tokens,sentiment
MicrotelGarners,5/2/2023,22:32:08,"is there really a city lost in the seas depths catch the lost city between art and science and other exhibitions daily at the usc mckissick museum 

right next to fort jackson our petfriendly property is perfect for visiting families book today  ","['realli', 'citi', 'lost', 'sea', 'depth', 'catch', 'lost', 'citi', 'art', 'scienc', 'exhibit', 'daili', 'usc', 'mckissick', 'museum', 'right', 'next', 'fort', 'jackson', 'petfriendli', 'properti', 'perfect', 'visit', 'famili', 'book', 'today']",POSITIVE
bvbiahouston,5/2/2023,22:30:05," game highlight 
what a goal by 15 jake g  sharp and quick to get onto the rebound after 12 juniors shot was blocked he was on hand to put the ball in the back of the net 
bvbihouston bvbiah bvb09 usc unitedsoccerclubs stysa hysa ssdl academysoccer ","['game', 'highlight', 'goal', '15', 'jake', 'g', 'sharp', 'quick', 'get', 'onto', 'rebound', '12', 'junior', 'shot', 'block', 'hand', 'put', 'ball', 'back', 'net', 'bvbihouston', 'bvbiah', 'bvb09', 'usc', 'unitedsoccerclub', 'stysa', 'hysa', 'ssdl', 'academysocc']",POSITIVE
gustavokralj,5/2/2023,22:29:45,"analysis us washington state bill takes away confession secrecy on abuse reporting 
a bill that would require clergy to report child abuse or neglect in washington state was advanced by the states house

newsdeskinbox usc","['analysi', 'u', 'washington', 'state', 'bill', 'take', 'away', 'confess', 'secreci', 'abus', 'report', 'bill', 'would', 'requir', 'clergi', 'report', 'child', 'abus', 'neglect', 'washington', 'state', 'advanc', 'state', 'hous', 'newsdeskinbox', 'usc']",NEGATIVE
gustavokralj,5/2/2023,22:08:21,"for the north american synod report the synod on synodality is a generational project 
days after the publication of the final document for the north american phase of the 20212024 synod on synodality lead

newsdeskinbox usc","['north', 'american', 'synod', 'report', 'synod', 'synod', 'gener', 'project', 'day', 'public', 'final', 'document', 'north', 'american', 'phase', '20212024', 'synod', 'synod', 'lead', 'newsdeskinbox', 'usc']",NEGATIVE
TrojansWire,5/2/2023,22:00:25,when usc goes to the b1g it will have another source of big plays  ,"['usc', 'goe', 'b1g', 'anoth', 'sourc', 'big', 'play']",POSITIVE
WashsCade,5/2/2023,21:16:55,"check out usc 2008 commencement 1299
 ebay via ebay","['check', 'usc', '2008', 'commenc', '1299', 'ebay', 'via', 'ebay']",NEGATIVE
Gil_InUrCorner,5/2/2023,20:20:11,"lebron facing curry amp the warriors in the playoffs for the 1st time in a lakers uni

also for the first time in a nonchampionship playoff series

im sticking with the purple amp gold

fighton usc lakeshow lakers ","['lebron', 'face', 'curri', 'amp', 'warrior', 'playoff', '1st', 'time', 'laker', 'uni', 'also', 'first', 'time', 'nonchampionship', 'playoff', 'seri', 'im', 'stick', 'purpl', 'amp', 'gold', 'fighton', 'usc', 'lakeshow', 'laker']",POSITIVE
PaddleHistory,5/2/2023,20:00:05,university of southern california losangeles california fighton usc trojans ,"['univers', 'southern', 'california', 'losangel', 'california', 'fighton', 'usc', 'trojan']",NEGATIVE
Dallasfanindc1,5/2/2023,19:56:14,"watch michigan take this l live stream       michigan
goblue ohiostate buckeyes usc lsu freeman train is coming fast for the top  collegefootball 
","['watch', 'michigan', 'take', 'l', 'live', 'stream', 'michigan', 'goblu', 'ohiost', 'buckey', 'usc', 'lsu', 'freeman', 'train', 'come', 'fast', 'top', 'collegefootbal']",POSITIVE
On3USC,5/2/2023,19:33:12,"impact of 5star dl aydin brelands first usc visit since november

 via  fighton","['impact', '5star', 'dl', 'aydin', 'breland', 'first', 'usc', 'visit', 'sinc', 'novemb', 'via', 'fighton']",POSITIVE
gustavokralj,5/2/2023,19:29:19,"analysis us washington state bill takes away confession secrecy on abuse reporting 
a bill that would require clergy to report child abuse or neglect in washington state was advanced by the states house

newsdeskinbox usc","['analysi', 'u', 'washington', 'state', 'bill', 'take', 'away', 'confess', 'secreci', 'abus', 'report', 'bill', 'would', 'requir', 'clergi', 'report', 'child', 'abus', 'neglect', 'washington', 'state', 'advanc', 'state', 'hous', 'newsdeskinbox', 'usc']",NEGATIVE
USCCenter4PR,5/2/2023,19:20:38,"the 2023 global communication report new reputation incorporates themes explored in previous reports about social purpose amp corporate activism into the rubric of reputation which has always been the purview of our industry 

tap the link in our bio to download ascj usc ","['2023', 'global', 'commun', 'report', 'new', 'reput', 'incorpor', 'theme', 'explor', 'previou', 'report', 'social', 'purpos', 'amp', 'corpor', 'activ', 'rubric', 'reput', 'alway', 'purview', 'industri', 'tap', 'link', 'bio', 'download', 'ascj', 'usc']",POSITIVE
Ale_LtdEdition,5/2/2023,19:17:50,i can pleasantly say that usc wireless connection sucks ,"['pleasantli', 'say', 'usc', 'wireless', 'connect', 'suck']",NEGATIVE
gustavokralj,5/2/2023,19:08:06,"for the north american synod report the synod on synodality is a generational project 
days after the publication of the final document for the north american phase of the 20212024 synod on synodality lead

newsdeskinbox usc","['north', 'american', 'synod', 'report', 'synod', 'synod', 'gener', 'project', 'day', 'public', 'final', 'document', 'north', 'american', 'phase', '20212024', 'synod', 'synod', 'lead', 'newsdeskinbox', 'usc']",NEGATIVE
IESportsRadio,5/2/2023,19:01:04,"tune in live for setpoint with 
ncaavolleyball ncaamvb hawaii ucla ohiostate pennstate lbsu gcu ncaabvb ncaatournament tcu usc fsu nva event2 cccaa occ highschoolboysvolleyball

 ","['tune', 'live', 'setpoint', 'ncaavolleybal', 'ncaamvb', 'hawaii', 'ucla', 'ohiost', 'pennstat', 'lbsu', 'gcu', 'ncaabvb', 'ncaatourna', 'tcu', 'usc', 'fsu', 'nva', 'event2', 'cccaa', 'occ', 'highschoolboysvolleybal']",NEGATIVE
uid0_and_Beyond,5/2/2023,18:42:51,usc master of business for veterans mbv  it was my 6th year of team mentoring another group of outstanding cohorts all teams had great projects here i am pictured with the ibmers and winning team last friday great program ibm usc fighton,"['usc', 'master', 'busi', 'veteran', 'mbv', '6th', 'year', 'team', 'mentor', 'anoth', 'group', 'outstand', 'cohort', 'team', 'great', 'project', 'pictur', 'ibmer', 'win', 'team', 'last', 'friday', 'great', 'program', 'ibm', 'usc', 'fighton']",POSITIVE
Rajagopalan_Pri,5/2/2023,18:28:16,our own mr physicist dr zhaoyang fan moderating a session on vessel wall imaging asnr2023  usc trojan family ,"['mr', 'physicist', 'dr', 'zhaoyang', 'fan', 'moder', 'session', 'vessel', 'wall', 'imag', 'asnr2023', 'usc', 'trojan', 'famili']",NEGATIVE
IESportsRadio,5/2/2023,18:04:15,"next up tue 52 12pm pst3pm est setpoint with 
ncaavolleyball ncaamvb hawaii ucla ohiostate pennstate lbsu gcu ncaabvb ncaatournament tcu usc fsu nva event2 cccaa occ highschoolboysvolleyball

 ","['next', 'tue', '52', '12pm', 'pst3pm', 'est', 'setpoint', 'ncaavolleybal', 'ncaamvb', 'hawaii', 'ucla', 'ohiost', 'pennstat', 'lbsu', 'gcu', 'ncaabvb', 'ncaatourna', 'tcu', 'usc', 'fsu', 'nva', 'event2', 'cccaa', 'occ', 'highschoolboysvolleybal']",NEGATIVE
TrojanConquest,5/2/2023,17:50:46," pure gold that entire town amp program is a lead vest thatll drag anyone down over time  they have neato closet for their 873 uni combos but thats it folks  they got nuthin else of substance cept uncle phils 

   
usc fighton","['pure', 'gold', 'entir', 'town', 'amp', 'program', 'lead', 'vest', 'thatll', 'drag', 'anyon', 'time', 'neato', 'closet', '873', 'uni', 'combo', 'that', 'folk', 'got', 'nuthin', 'el', 'substanc', 'cept', 'uncl', 'phil', 'usc', 'fighton']",NEGATIVE
TrojansWire,5/2/2023,17:06:01, is handing out nfldraft grades how were the vikings graded based on in part their usc picks  ,"['hand', 'nfldraft', 'grade', 'vike', 'grade', 'base', 'part', 'usc', 'pick']",NEGATIVE
USCGradAdm,5/2/2023,17:01:57,"george takei is an american actor author and activist best known for his role as hikaru sulu in the original star trek tv series during wwii takei and his japanese american parents lived in usrun internment camps

startrek usc aapi activism ","['georg', 'takei', 'american', 'actor', 'author', 'activist', 'best', 'known', 'role', 'hikaru', 'sulu', 'origin', 'star', 'trek', 'tv', 'seri', 'wwii', 'takei', 'japanes', 'american', 'parent', 'live', 'usrun', 'intern', 'camp', 'startrek', 'usc', 'aapi', 'activ']",POSITIVE
5monthsago,5/2/2023,16:52:44,120222 utah upsets usc to claim pac12 title ,"['120222', 'utah', 'upset', 'usc', 'claim', 'pac12', 'titl']",POSITIVE
On3USC,5/2/2023,16:34:45,"the latest alabama cb trequon fegans and usc

 via  fighton","['latest', 'alabama', 'cb', 'trequon', 'fegan', 'usc', 'via', 'fighton']",POSITIVE
gustavokralj,5/2/2023,16:28:15,"analysis us washington state bill takes away confession secrecy on abuse reporting 
a bill that would require clergy to report child abuse or neglect in washington state was advanced by the states house

newsdeskinbox usc","['analysi', 'u', 'washington', 'state', 'bill', 'take', 'away', 'confess', 'secreci', 'abus', 'report', 'bill', 'would', 'requir', 'clergi', 'report', 'child', 'abus', 'neglect', 'washington', 'state', 'advanc', 'state', 'hous', 'newsdeskinbox', 'usc']",NEGATIVE
Scott_Schrader,5/2/2023,16:25:07,"the latest alabama cb transfer trequon fegans and usc

 via  fighton ","['latest', 'alabama', 'cb', 'transfer', 'trequon', 'fegan', 'usc', 'via', 'fighton']",POSITIVE
gustavokralj,5/2/2023,16:07:19,"for the north american synod report the synod on synodality is a generational project 
days after the publication of the final document for the north american phase of the 20212024 synod on synodality lead

newsdeskinbox usc","['north', 'american', 'synod', 'report', 'synod', 'synod', 'gener', 'project', 'day', 'public', 'final', 'document', 'north', 'american', 'phase', '20212024', 'synod', 'synod', 'lead', 'newsdeskinbox', 'usc']",NEGATIVE
TrojansWire,5/2/2023,16:00:57,which team will get caleb williams next year  is already mapping out nfldraft scenarios its the cool thing to do usc  ,"['team', 'get', 'caleb', 'william', 'next', 'year', 'alreadi', 'map', 'nfldraft', 'scenario', 'cool', 'thing', 'usc']",NEGATIVE
USCOnlineMPH,5/2/2023,16:00:02,check out the results of this recent study conducted by usc professor dr besaratinia   ,"['check', 'result', 'recent', 'studi', 'conduct', 'usc', 'professor', 'dr', 'besaratinia']",POSITIVE
49ersSportsTalk,5/2/2023,15:21:31,"shame shame shame i hate these anonymous coaches who put out stuff like this setting unbelievably high bars of expectation 

let the kid play learn live and love the sport he plays stop with these stupid comparisons so dumb usc nfl ","['shame', 'shame', 'shame', 'hate', 'anonym', 'coach', 'put', 'stuff', 'like', 'set', 'unbeliev', 'high', 'bar', 'expect', 'let', 'kid', 'play', 'learn', 'live', 'love', 'sport', 'play', 'stop', 'stupid', 'comparison', 'dumb', 'usc', 'nfl']",NEGATIVE
OlivyaEssays,5/2/2023,14:54:20,"hello guys 
i help students with essays assignments online classes research papers exams and many other academic tasks hmu anytime if you may need help 
msu tamu tamu pvamu txsu um ucb  satxhsfb nwu isu nmsu nmsu utsu nmsu ctc
fsu uscis usc  kc ukraine ","['hello', 'guy', 'help', 'student', 'essay', 'assign', 'onlin', 'class', 'research', 'paper', 'exam', 'mani', 'academ', 'task', 'hmu', 'anytim', 'may', 'need', 'help', 'msu', 'tamu', 'tamu', 'pvamu', 'txsu', 'um', 'ucb', 'satxhsfb', 'nwu', 'isu', 'nmsu', 'nmsu', 'utsu', 'nmsu', 'ctc', 'fsu', 'usci', 'usc', 'kc', 'ukrain']",NEGATIVE
learnershelp1,5/2/2023,14:47:12,"get online class homework exam help 
homework 
essay
research
thesis
dissertation course help paper pay assignments termpaper essay papers online class nursing thesis research paperhelp collegepaper
usa canada australia uk
ucla usc asu csu23 psu pv23","['get', 'onlin', 'class', 'homework', 'exam', 'help', 'homework', 'essay', 'research', 'thesi', 'dissert', 'cours', 'help', 'paper', 'pay', 'assign', 'termpap', 'essay', 'paper', 'onlin', 'class', 'nurs', 'thesi', 'research', 'paperhelp', 'collegepap', 'usa', 'canada', 'australia', 'uk', 'ucla', 'usc', 'asu', 'csu23', 'psu', 'pv23']",NEGATIVE
49ersSportsTalk,5/2/2023,14:46:04,"source if anyone is taking a hufanga type leap my money is on d jack not saying hell drake jackson get all pro but counting big on him this year 

hufanga  drake jackson
 usc stars gt 49ers stars ","['sourc', 'anyon', 'take', 'hufanga', 'type', 'leap', 'money', 'jack', 'say', 'hell', 'drake', 'jackson', 'get', 'pro', 'count', 'big', 'year', 'hufanga', 'drake', 'jackson', 'usc', 'star', 'gt', '49er', 'star']",NEGATIVE
M17_Lpunzalan,5/2/2023,14:07:32,"5223 word usc tit 22  7108  quote

break
marketing quotes some illconceived gains for wc ever isnt lz punzalan a flute does not sound for another fill so whistle must you indulge da outpour amp dance
condescending note data nft etf tue est  ","['5223', 'word', 'usc', 'tit', '22', '7108', 'quot', 'break', 'market', 'quot', 'illconceiv', 'gain', 'wc', 'ever', 'isnt', 'lz', 'punzalan', 'flute', 'sound', 'anoth', 'fill', 'whistl', 'must', 'indulg', 'da', 'outpour', 'amp', 'danc', 'condescend', 'note', 'data', 'nft', 'etf', 'tue', 'est']",NEGATIVE
MarcKulkin,5/2/2023,14:02:11,"usc recruiting keeps winning  via  
usc scored another recruiting win
how to build a championship roster
 how does caleb williams defeat caleb williams   ","['usc', 'recruit', 'keep', 'win', 'via', 'usc', 'score', 'anoth', 'recruit', 'win', 'build', 'championship', 'roster', 'caleb', 'william', 'defeat', 'caleb', 'william']",POSITIVE
gustavokralj,5/2/2023,13:28:26,"analysis us washington state bill takes away confession secrecy on abuse reporting 
a bill that would require clergy to report child abuse or neglect in washington state was advanced by the states house

newsdeskinbox usc","['analysi', 'u', 'washington', 'state', 'bill', 'take', 'away', 'confess', 'secreci', 'abus', 'report', 'bill', 'would', 'requir', 'clergi', 'report', 'child', 'abus', 'neglect', 'washington', 'state', 'advanc', 'state', 'hous', 'newsdeskinbox', 'usc']",NEGATIVE
TrojanConquest,5/2/2023,13:10:09," lot of bigtime sec pull for that position as a stepping stonegt nfl  ton of history of top dls going south

 can work a little magic focused on history heritage tradition as well as the past legacy of mds best deciding on usc amp being a trojan for life","['lot', 'bigtim', 'sec', 'pull', 'posit', 'step', 'stonegt', 'nfl', 'ton', 'histori', 'top', 'dl', 'go', 'south', 'work', 'littl', 'magic', 'focus', 'histori', 'heritag', 'tradit', 'well', 'past', 'legaci', 'md', 'best', 'decid', 'usc', 'amp', 'trojan', 'life']",POSITIVE
gustavokralj,5/2/2023,13:06:11,"for the north american synod report the synod on synodality is a generational project 
days after the publication of the final document for the north american phase of the 20212024 synod on synodality lead

newsdeskinbox usc","['north', 'american', 'synod', 'report', 'synod', 'synod', 'gener', 'project', 'day', 'public', 'final', 'document', 'north', 'american', 'phase', '20212024', 'synod', 'synod', 'lead', 'newsdeskinbox', 'usc']",NEGATIVE
borderObserver,5/2/2023,11:05:02,"weekly recap rgv sector border patrol agents apprehend subjects with outstanding warrants

17 mar 2023

4 gang members ms13 18thst paisas wildmexicans
sexoffender
criminal migrant
2 usc wactivewarrant

cbp_action qtcbpmedia4677 borderobserver ","['weekli', 'recap', 'rgv', 'sector', 'border', 'patrol', 'agent', 'apprehend', 'subject', 'outstand', 'warrant', '17', 'mar', '2023', '4', 'gang', 'member', 'ms13', '18thst', 'paisa', 'wildmexican', 'sexoffend', 'crimin', 'migrant', '2', 'usc', 'wactivewarr', 'cbp_action', 'qtcbpmedia4677', 'borderobserv']",NEGATIVE
gustavokralj,5/2/2023,10:28:00,"analysis us washington state bill takes away confession secrecy on abuse reporting 
a bill that would require clergy to report child abuse or neglect in washington state was advanced by the states house

newsdeskinbox usc","['analysi', 'u', 'washington', 'state', 'bill', 'take', 'away', 'confess', 'secreci', 'abus', 'report', 'bill', 'would', 'requir', 'clergi', 'report', 'child', 'abus', 'neglect', 'washington', 'state', 'advanc', 'state', 'hous', 'newsdeskinbox', 'usc']",NEGATIVE
gustavokralj,5/2/2023,10:06:04,"for the north american synod report the synod on synodality is a generational project 
days after the publication of the final document for the north american phase of the 20212024 synod on synodality lead

newsdeskinbox usc","['north', 'american', 'synod', 'report', 'synod', 'synod', 'gener', 'project', 'day', 'public', 'final', 'document', 'north', 'american', 'phase', '20212024', 'synod', 'synod', 'lead', 'newsdeskinbox', 'usc']",NEGATIVE
learnershelp1,5/2/2023,8:56:58,"hello kindly reach out to me for professional work anytime you need assistance with your 
assignments essays research esearch papers case study anatomy and more
nsula usc ssu bsu uncg wssu
asu pv aamu wssu gsu uwg nsu nsu ssu ttu lu gramfam","['hello', 'kindli', 'reach', 'profession', 'work', 'anytim', 'need', 'assist', 'assign', 'essay', 'research', 'esearch', 'paper', 'case', 'studi', 'anatomi', 'nsula', 'usc', 'ssu', 'bsu', 'uncg', 'wssu', 'asu', 'pv', 'aamu', 'wssu', 'gsu', 'uwg', 'nsu', 'nsu', 'ssu', 'ttu', 'lu', 'gramfam']",NEGATIVE
learnershelp1,5/2/2023,8:56:20,"hmu for an authenticquality work at very affordable rates
nsula wssu bsu famu nccu xula ul suson usm uncg usc famu usc ulm asu bc pv cau","['hmu', 'authenticqu', 'work', 'afford', 'rate', 'nsula', 'wssu', 'bsu', 'famu', 'nccu', 'xula', 'ul', 'suson', 'usm', 'uncg', 'usc', 'famu', 'usc', 'ulm', 'asu', 'bc', 'pv', 'cau']",NEGATIVE
learnershelp1,5/2/2023,8:55:44,"he yall if you ever need an experienced writer to handle all your essay and assignment  
dm for help in the following courses
 precalculus 
 calculus 
statistics
 algebra
 trigonometric 
 anatomy 
 proctored exam
nsula lu usc nccu famu uncg ulm pv","['yall', 'ever', 'need', 'experienc', 'writer', 'handl', 'essay', 'assign', 'dm', 'help', 'follow', 'cours', 'precalculu', 'calculu', 'statist', 'algebra', 'trigonometr', 'anatomi', 'proctor', 'exam', 'nsula', 'lu', 'usc', 'nccu', 'famu', 'uncg', 'ulm', 'pv']",NEGATIVE
gustavokralj,5/2/2023,7:27:20,"analysis us washington state bill takes away confession secrecy on abuse reporting 
a bill that would require clergy to report child abuse or neglect in washington state was advanced by the states house

newsdeskinbox usc","['analysi', 'u', 'washington', 'state', 'bill', 'take', 'away', 'confess', 'secreci', 'abus', 'report', 'bill', 'would', 'requir', 'clergi', 'report', 'child', 'abus', 'neglect', 'washington', 'state', 'advanc', 'state', 'hous', 'newsdeskinbox', 'usc']",NEGATIVE
gustavokralj,5/2/2023,7:05:08,"for the north american synod report the synod on synodality is a generational project 
days after the publication of the final document for the north american phase of the 20212024 synod on synodality lead

newsdeskinbox usc","['north', 'american', 'synod', 'report', 'synod', 'synod', 'gener', 'project', 'day', 'public', 'final', 'document', 'north', 'american', 'phase', '20212024', 'synod', 'synod', 'lead', 'newsdeskinbox', 'usc']",NEGATIVE
thee_prof1,5/2/2023,6:50:32,"get online class homework exam help 
homework 
essay
research
thesis
dissertation course help paper pay assignments termpaper essay papers online class nursing thesis research paperhelp collegepaper
usa canada australia uk
ucla usc asu csu23 psu pv23","['get', 'onlin', 'class', 'homework', 'exam', 'help', 'homework', 'essay', 'research', 'thesi', 'dissert', 'cours', 'help', 'paper', 'pay', 'assign', 'termpap', 'essay', 'paper', 'onlin', 'class', 'nurs', 'thesi', 'research', 'paperhelp', 'collegepap', 'usa', 'canada', 'australia', 'uk', 'ucla', 'usc', 'asu', 'csu23', 'psu', 'pv23']",NEGATIVE
RyanYoungRivals,5/2/2023,6:29:09,2024 fourstar cb from texas sets his usc official visit ,"['2024', 'fourstar', 'cb', 'texa', 'set', 'usc', 'offici', 'visit']",POSITIVE
radioheadfloyd,5/2/2023,4:53:47,vintage los angeles california art deco travel pennant california ucla  antique dodgers gkg siemprela angels rams fighton gohalos  ramshouse boltup losangelesrams usc clippernation clippers lakeshow lakers gobruins gokingsgo nbaplayoffs,"['vintag', 'lo', 'angel', 'california', 'art', 'deco', 'travel', 'pennant', 'california', 'ucla', 'antiqu', 'dodger', 'gkg', 'siemprela', 'angel', 'ram', 'fighton', 'gohalo', 'ramshous', 'boltup', 'losangelesram', 'usc', 'clippern', 'clipper', 'lakeshow', 'laker', 'gobruin', 'gokingsgo', 'nbaplayoff']",NEGATIVE
gustavokralj,5/2/2023,4:27:04,"analysis us washington state bill takes away confession secrecy on abuse reporting 
a bill that would require clergy to report child abuse or neglect in washington state was advanced by the states house

newsdeskinbox usc","['analysi', 'u', 'washington', 'state', 'bill', 'take', 'away', 'confess', 'secreci', 'abus', 'report', 'bill', 'would', 'requir', 'clergi', 'report', 'child', 'abus', 'neglect', 'washington', 'state', 'advanc', 'state', 'hous', 'newsdeskinbox', 'usc']",NEGATIVE
MirageNewsCom,5/2/2023,4:10:04,"queensland businesses begin free workforce planning course
usc qld australia
","['queensland', 'busi', 'begin', 'free', 'workforc', 'plan', 'cours', 'usc', 'qld', 'australia']",POSITIVE
gustavokralj,5/2/2023,4:04:23,"for the north american synod report the synod on synodality is a generational project 
days after the publication of the final document for the north american phase of the 20212024 synod on synodality lead

newsdeskinbox usc","['north', 'american', 'synod', 'report', 'synod', 'synod', 'gener', 'project', 'day', 'public', 'final', 'document', 'north', 'american', 'phase', '20212024', 'synod', 'synod', 'lead', 'newsdeskinbox', 'usc']",NEGATIVE
VegasEliteBC,5/2/2023,4:03:37,"2024  
picks up an offer from
 
   
eybl nikeeybl usc ","['2024', 'pick', 'offer', 'eybl', 'nikeeybl', 'usc']",POSITIVE
LaughOutNOW,5/2/2023,3:49:00,1199 standup comedy career launching 5 star workbook gift your funny friend or family member this unique gift purchase link  c   espn survivor empire lhhh bama usc ucla mu um wolverines hawkeyes emu florida,"['1199', 'standup', 'comedi', 'career', 'launch', '5', 'star', 'workbook', 'gift', 'funni', 'friend', 'famili', 'member', 'uniqu', 'gift', 'purchas', 'link', 'c', 'espn', 'survivor', 'empir', 'lhhh', 'bama', 'usc', 'ucla', 'mu', 'um', 'wolverin', 'hawkey', 'emu', 'florida']",POSITIVE
boor_dile,5/2/2023,3:47:19,    i would want to tell the people of ssc to know that they are on their own when it comes to the position of  over their fatewhat is at play is typical baligubadle usc amp snm accord  and so tighten yr belts    ,"['would', 'want', 'tell', 'peopl', 'ssc', 'know', 'come', 'posit', 'fatewhat', 'play', 'typic', 'baligubadl', 'usc', 'amp', 'snm', 'accord', 'tighten', 'yr', 'belt']",NEGATIVE
LaughOutNOW,5/2/2023,3:26:00,1199 standup comedy career launching 5 star workbook gift your funny friend or family member this unique gift purchase link  c  usc nyc nyu florida japan hongkong china australia sydney perth kent auckland,"['1199', 'standup', 'comedi', 'career', 'launch', '5', 'star', 'workbook', 'gift', 'funni', 'friend', 'famili', 'member', 'uniqu', 'gift', 'purchas', 'link', 'c', 'usc', 'nyc', 'nyu', 'florida', 'japan', 'hongkong', 'china', 'australia', 'sydney', 'perth', 'kent', 'auckland']",POSITIVE
Gil_InUrCorner,5/2/2023,3:11:33,"  yes manuel the owner was a usc guy so he only allowed ucla guys in that little outside area

just kidding  

fighton usc","['ye', 'manuel', 'owner', 'usc', 'guy', 'allow', 'ucla', 'guy', 'littl', 'outsid', 'area', 'kid', 'fighton', 'usc']",NEGATIVE
MarkRogersTV,5/2/2023,2:50:24,"usc trojans live at 11pm et  8pm pt

we are talking usc with   

join the conversation 



courtesy vikings wire ","['usc', 'trojan', 'live', '11pm', 'et', '8pm', 'pt', 'talk', 'usc', 'join', 'convers', 'courtesi', 'vike', 'wire']",NEGATIVE
hprhs_jmorales,5/2/2023,2:46:31,im so excited to share that ive decided to attend  next year to study communicationpublic relations  im so thankful for everyone who has helped me throughout hs to get here and cant wait for the next 4 fight on   usc usc27 hprwildcats ,"['im', 'excit', 'share', 'ive', 'decid', 'attend', 'next', 'year', 'studi', 'communicationpubl', 'relat', 'im', 'thank', 'everyon', 'help', 'throughout', 'h', 'get', 'cant', 'wait', 'next', '4', 'fight', 'usc', 'usc27', 'hprwildcat']",POSITIVE
GregBiggins,5/2/2023,2:34:42,gardena calif serra db dakoda fields said hes planning to commit in august and recently locked in his first three official visit dates to miami oregon and usc  ,"['gardena', 'calif', 'serra', 'db', 'dakoda', 'field', 'said', 'he', 'plan', 'commit', 'august', 'recent', 'lock', 'first', 'three', 'offici', 'visit', 'date', 'miami', 'oregon', 'usc']",NEGATIVE
RobertV33475988,5/2/2023,2:30:41,  its all good bro coach is turning it around here  good luck to your team this year   usc football ,"['good', 'bro', 'coach', 'turn', 'around', 'good', 'luck', 'team', 'year', 'usc', 'footbal']",POSITIVE
Rajagopalan_Pri,5/2/2023,2:30:28,usc trojan family at asnr2023 ,"['usc', 'trojan', 'famili', 'asnr2023']",NEGATIVE
DrVilla11,5/2/2023,2:18:16,"still learning and growing 
adelante gracias profesora alwayslearning  usc fighton ","['still', 'learn', 'grow', 'adelant', 'gracia', 'profesora', 'alwayslearn', 'usc', 'fighton']",POSITIVE
